epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.10025560706853867,0.12631903290748597,1.3700579643249515,0.5954501152038576,0.9,0.7,-76.2586669921875,-83.44927978515625,-93.31436157226562,-97.78569030761719
0.2195,10,0.03886913061141968,0.037850186601281165,2.269272899627685,1.38719596862793,0.9,0.9,-36.064266204833984,-71.5882339477539,-66.94210815429688,-101.00408935546875
0.3192,15,0.02169328355230391,0.021331920474767684,2.3240589141845707,1.8550891876220703,0.9,0.9,-110.111328125,-53.707176208496094,-146.6157989501953,-80.33837890625
0.419,20,0.014763409132137894,0.012774788681417704,2.930513572692872,2.267472648620604,1.0,1.0,-121.36550903320312,-115.48176574707031,-152.346435546875,-144.28094482421875
0.5187,25,0.009064813680015504,0.010757549665868282,3.383588600158692,2.50807647705078,1.0,1.0,-53.431976318359375,-97.20824432373047,-91.8262939453125,-126.86324310302734
0.6185,30,0.0076045379973948,0.009562972513958812,3.9019492149353017,2.665775871276855,1.0,1.0,-43.87251281738281,-44.471229553222656,-83.07569122314453,-76.75617980957031
0.7182,35,0.005395569978281856,0.008524583745747804,4.073132133483887,2.7887792587280273,1.0,1.0,-69.08309936523438,-100.09573364257812,-105.60606384277344,-130.40570068359375
0.818,40,0.0035580789961386474,0.008062870241701603,5.195807409286499,2.8840291023254387,1.0,1.0,-44.72748565673828,-65.88441467285156,-73.57048797607422,-91.52764892578125
0.9177,45,0.013544614613056182,0.008253296371549368,2.8722124099731445,2.8725187301635753,0.9,1.0,-56.85978317260742,-78.18181610107422,-93.90449523925781,-96.52155303955078
1.0,50,0.005635713320225477,0.007956960517913104,3.9523986816406245,2.849672412872314,1.0,1.0,-28.202402114868164,-54.114952087402344,-67.05714416503906,-77.19383239746094
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.09996753036975861,0.11423588693141937,1.3655817985534666,0.632680511474609,0.9,0.8,-76.64187622070312,-83.21624755859375,-93.31436157226562,-97.78569030761719
0.2195,10,0.03854843694716692,0.036432023718953134,2.345923042297363,1.4139753341674801,0.9,0.9,-36.12862014770508,-72.03601837158203,-66.94210815429688,-101.00408935546875
0.3192,15,0.021901728678494693,0.019885723292827607,2.2979314804077156,1.8842439651489258,0.9,0.9,-109.78916931152344,-53.416988372802734,-146.6157989501953,-80.33837890625
0.419,20,0.013689705915749074,0.013232926651835442,2.9902590751647953,2.2936922073364254,1.0,1.0,-121.34410095214844,-115.70244598388672,-152.346435546875,-144.28094482421875
0.5187,25,0.008836071868427098,0.010092905443161725,3.360063457489014,2.572983741760254,1.0,1.0,-53.43285369873047,-97.10720825195312,-91.8262939453125,-126.86324310302734
0.6185,30,0.007495137513615191,0.009569716546684504,3.9620109558105483,2.6818202018737782,1.0,1.0,-43.72040557861328,-44.004615783691406,-83.07569122314453,-76.75617980957031
0.7182,35,0.005649627977982163,0.007940879557281733,4.089659404754638,2.8346337318420414,1.0,1.0,-68.82821655273438,-100.12599182128906,-105.60606384277344,-130.40570068359375
0.818,40,0.003962404478807002,0.008116556983441114,5.256160640716552,2.90565996170044,1.0,1.0,-44.64574432373047,-65.76708984375,-73.57048797607422,-91.52764892578125
0.9177,45,0.012491513649001718,0.008150158682838082,2.948175716400147,2.9046407699584975,0.9,1.0,-56.67779541015625,-78.295654296875,-93.90449523925781,-96.52155303955078
1.0,50,0.005662873014807701,0.00788756189867854,3.9474326133728033,2.9594173431396484,1.0,1.0,-28.197864532470703,-53.6684455871582,-67.05714416503906,-77.19383239746094
