epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.4470737099647522,0.5152385592460632,0.634030855447054,0.406120191141963,1.0,1.0,-90.8983154296875,-97.72138977050781,-93.31436157226562,-97.78569030761719
0.2195,10,0.27592150270938876,0.3372964859008789,1.3824340254068375,0.9753891915082932,1.0,1.0,-66.23782348632812,-106.17278289794922,-66.94210815429688,-101.00408935546875
0.3192,15,0.3060188114643097,0.26027870178222656,1.3056140609085558,1.3832876175642013,1.0,1.0,-152.05587768554688,-100.31729888916016,-146.6157989501953,-80.33837890625
0.419,20,0.23471833914518356,0.21954795718193054,1.789685845375061,1.7122837744653223,1.0,1.0,-155.87796020507812,-153.26544189453125,-152.346435546875,-144.28094482421875
0.5187,25,0.18922354876995087,0.1945387043058872,2.234361654520035,1.9487465038895606,1.0,1.0,-89.54823303222656,-144.31671142578125,-91.8262939453125,-126.86324310302734
0.6185,30,0.16255989000201226,0.17503130063414574,2.601297003030777,2.160003235936165,1.0,1.0,-83.66831970214844,-97.42843627929688,-83.07569122314453,-76.75617980957031
0.7182,35,0.0661835703998804,0.16474776454269885,3.3671473234891893,2.317950263619423,1.0,1.0,-119.24800109863281,-160.97845458984375,-105.60606384277344,-130.40570068359375
0.818,40,0.09340738821774722,0.15841936953365804,3.266893517971039,2.379386430978775,1.0,1.0,-87.82304382324219,-113.65338134765625,-73.57048797607422,-91.52764892578125
0.9177,45,0.12260374575853347,0.15976139362901448,2.4490144312381745,2.3901514053344726,1.0,1.0,-110.56507873535156,-153.361572265625,-93.90449523925781,-96.52155303955078
1.0,50,0.07651394978165627,0.15940579175949096,3.117180073261261,2.3919529020786285,1.0,1.0,-73.41292572021484,-122.10133361816406,-67.05714416503906,-77.19383239746094
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.45077729821205137,0.5265878796577453,0.6252378515899182,0.37881286889314647,1.0,1.0,-91.09369659423828,-97.66791534423828,-93.31436157226562,-97.78569030761719
0.2195,10,0.2733893126249313,0.337337064743042,1.385729083418846,0.974456575512886,1.0,1.0,-66.65494537353516,-106.34954071044922,-66.94210815429688,-101.00408935546875
0.3192,15,0.2956873595714569,0.2624212890863419,1.3397054478526114,1.3792724013328552,1.0,1.0,-152.3191375732422,-100.564453125,-146.6157989501953,-80.33837890625
0.419,20,0.24109123945236205,0.2227361708879471,1.7632109284400939,1.6902679765131323,1.0,1.0,-155.58201599121094,-152.99081420898438,-152.346435546875,-144.28094482421875
0.5187,25,0.1874825805425644,0.19577308595180512,2.2630633234977724,1.9514736026525497,1.0,1.0,-90.079833984375,-144.9752655029297,-91.8262939453125,-126.86324310302734
0.6185,30,0.16334893368184566,0.1769951157271862,2.622153162956238,2.1462258130311964,1.0,1.0,-83.97718811035156,-97.52973937988281,-83.07569122314453,-76.75617980957031
0.7182,35,0.06371791958808899,0.16902472153306008,3.3994798406958577,2.2892806440591813,1.0,1.0,-119.46147155761719,-161.5367431640625,-105.60606384277344,-130.40570068359375
0.818,40,0.09232995957136154,0.16079375743865967,3.267354565858841,2.3709138870239257,1.0,1.0,-88.48147583007812,-114.01109313964844,-73.57048797607422,-91.52764892578125
0.9177,45,0.11951627358794212,0.1597804270684719,2.4439287602901456,2.400627964735031,1.0,1.0,-111.4585189819336,-153.91015625,-93.90449523925781,-96.52155303955078
1.0,50,0.0769765131175518,0.15950383394956588,3.1411624491214756,2.3951838254928592,1.0,1.0,-74.05810546875,-122.59866333007812,-67.05714416503906,-77.19383239746094
