epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-183.06600952148438,-142.31813049316406,-183.06600952148438,-142.31813049316406
0.1197,5,1.6853179900522265e-07,3.7723680890167086e-08,17.238660907745363,17.970132255554198,1.0,1.0,-136.33984375,-114.1617202758789,-154.40591430664062,-93.31436157226562
0.2195,10,1.482333659099289e-11,4.2592269771865587e-13,28.6838586807251,29.09151611328125,1.0,1.0,-76.00370025634766,-118.27194213867188,-117.21282958984375,-66.94210815429688
0.3192,15,1.013431669532732e-11,4.5673792574635675e-14,30.587877845764158,31.24645767211914,1.0,1.0,-143.93479919433594,-210.84678649902344,-184.96438598632812,-146.6157989501953
0.419,20,1.1537096524302923e-12,2.6915093790595267e-14,30.243011665344238,31.77773723602295,1.0,1.0,-168.53134155273438,-201.193603515625,-204.85614013671875,-152.346435546875
0.5187,25,9.01946183857322e-14,2.074748504916164e-14,32.151522636413574,32.04052658081055,1.0,1.0,-128.17787170410156,-149.1097412109375,-175.96795654296875,-91.8262939453125
0.6185,30,2.2886357854362092e-11,2.063664121654111e-14,31.35163803100586,32.12379608154297,1.0,1.0,-95.38052368164062,-144.46690368652344,-134.89761352539062,-82.97470092773438
0.7182,35,1.5734391786307927e-13,2.0686364168127305e-14,31.851078987121582,32.08092193603515,1.0,1.0,-103.85916137695312,-168.4886474609375,-145.29620361328125,-105.60606384277344
0.818,40,3.7188246697296334e-13,2.1139880939383604e-14,32.3692663192749,32.09651699066162,1.0,1.0,-111.06880950927734,-122.65875244140625,-149.08279418945312,-73.57048797607422
0.9177,45,4.5350367595752657e-13,2.1442442971615324e-14,31.582839584350584,32.03534469604492,1.0,1.0,-90.21427917480469,-157.0107421875,-127.83999633789062,-93.90449523925781
1.0,50,3.037509167124917e-11,2.0148170995441655e-14,31.47711887359619,32.10417861938477,1.0,1.0,-86.94043731689453,-125.61552429199219,-132.3841094970703,-67.05714416503906
