epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-140.4958953857422,-59.13417053222656,-140.4958953857422,-59.13417053222656
0.1197,5,0.00041878535703290256,0.0003926084114937112,8.965145289897919,9.282846784591674,1.0,1.0,-123.637939453125,-57.51606750488281,-147.26271057128906,-60.12870407104492
0.2195,10,7.123329453406768e-07,2.579589022388973e-06,15.046184891462326,15.141884136199952,1.0,1.0,-78.85586547851562,-44.73693084716797,-140.98550415039062,-49.46619415283203
0.3192,15,1.2532489854777395e-07,8.146654472795945e-07,16.511226606369018,16.24805488586426,1.0,1.0,-98.65663146972656,-63.195465087890625,-144.45721435546875,-65.20555877685547
0.419,20,6.331266675374536e-08,6.326213075169563e-07,16.794170194864275,16.491049695014954,1.0,1.0,-83.64878845214844,-64.19578552246094,-145.46250915527344,-66.48806762695312
0.5187,25,5.228359150066808e-08,5.693032367304341e-07,17.22830369472504,16.61375367641449,1.0,1.0,-70.13853454589844,-49.50450897216797,-131.0018310546875,-54.201194763183594
0.6185,30,3.315803565939746e-07,5.075938133813907e-07,16.32136468887329,16.604738664627078,1.0,1.0,-111.60543823242188,-54.40813446044922,-165.2779541015625,-55.419151306152344
0.7182,35,9.517625443322686e-08,5.847936407121779e-07,16.906390726566315,16.594127559661867,1.0,1.0,-105.57121276855469,-107.60466003417969,-151.067626953125,-111.26089477539062
0.818,40,1.1600208633666398e-07,4.803831039623674e-07,16.98965069055557,16.669901514053343,1.0,1.0,-115.69902038574219,-69.67301177978516,-175.90614318847656,-71.73411560058594
0.9177,45,3.118432246651537e-07,5.453434926749878e-07,15.586486279964445,16.631981325149535,1.0,1.0,-88.39265441894531,-61.07612228393555,-148.4764862060547,-64.06010437011719
1.0,50,2.952069408479474e-07,5.260037969634368e-07,16.358821630477905,16.684687447547912,1.0,1.0,-107.60576629638672,-72.4527816772461,-168.0518798828125,-75.10137939453125
