epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-183.06600952148438,-142.31813049316406,-183.06600952148438,-142.31813049316406
0.1197,5,0.5649287939071655,0.5518443584442139,0.23288888037204744,0.26039659380912783,0.9,1.0,-153.62315368652344,-93.11952209472656,-154.40591430664062,-93.31436157226562
0.2195,10,0.2869497865438461,0.29248570203781127,1.1294261384755373,1.0504074662923812,1.0,1.0,-113.83763122558594,-66.81167602539062,-117.21282958984375,-66.94210815429688
0.3192,15,0.1926639974117279,0.1685541868209839,1.6548958336934447,1.7067513179033995,1.0,1.0,-179.06936645507812,-146.4031524658203,-184.96438598632812,-146.6157989501953
0.419,20,0.10913653820753097,0.10044750720262527,2.239392130821943,2.29957910105586,1.0,1.0,-199.92637634277344,-152.6190185546875,-204.85614013671875,-152.346435546875
0.5187,25,0.05615528449416161,0.067748761177063,2.9730168461799624,2.7530601412057876,1.0,1.0,-167.11204528808594,-92.31793975830078,-175.96795654296875,-91.8262939453125
0.6185,30,0.07399372830986976,0.048123530298471454,2.9803263485431675,3.138160112500191,1.0,1.0,-126.55827331542969,-84.62724304199219,-134.89761352539062,-82.97470092773438
0.7182,35,0.04613749459385872,0.04388726651668549,3.263431215286255,3.26003275513649,1.0,1.0,-137.29730224609375,-106.83384704589844,-145.29620361328125,-105.60606384277344
0.818,40,0.058491562679409984,0.03992716446518898,3.293682372570038,3.3562900185585023,1.0,1.0,-141.74325561523438,-74.90098571777344,-149.08279418945312,-73.57048797607422
0.9177,45,0.03870567753911018,0.04038677513599396,3.4390289068222044,3.35551535487175,1.0,1.0,-120.67375946044922,-96.95148468017578,-127.83999633789062,-93.90449523925781
1.0,50,0.052808452397584915,0.04150732457637787,3.3151508927345272,3.3172295689582825,1.0,1.0,-121.23723602294922,-68.70581817626953,-132.3841094970703,-67.05714416503906
