epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-190.41571044921875,-157.13272094726562,-190.41571044921875,-157.13272094726562
0.1197,5,0.0889217346906662,0.06397835612297058,2.4725798964500427,2.731342303752899,1.0,1.0,-159.71690368652344,-109.14971923828125,-162.5953369140625,-107.83405303955078
0.2195,10,0.008545755012892186,0.0023166348692029715,5.9611001968383786,6.2027270793914795,1.0,1.0,-111.1150131225586,-91.24048614501953,-123.75054168701172,-83.67169952392578
0.3192,15,0.002235990177723579,0.0002146478451322764,8.2223370552063,8.633209228515625,1.0,1.0,-176.3282470703125,-164.88528442382812,-193.18673706054688,-154.3926239013672
0.419,20,0.00013549695868277922,4.968346547684632e-05,9.648178243637085,10.123519802093506,1.0,1.0,-200.09776306152344,-174.923828125,-214.5819854736328,-163.60675048828125
0.5187,25,1.926238364831079e-05,2.9941668981336988e-05,10.944190311431885,10.619316577911377,1.0,1.0,-160.51663208007812,-118.22001647949219,-180.33944702148438,-104.54972076416016
0.6185,30,0.0007411942875478417,2.1421515157271642e-05,10.345423269271851,10.960535717010497,1.0,1.0,-119.19734191894531,-109.56550598144531,-138.11817932128906,-95.56452941894531
0.7182,35,2.75264148513088e-05,2.006964678002987e-05,10.896724510192872,11.032003402709961,1.0,1.0,-130.84921264648438,-127.14671325683594,-150.66339111328125,-112.86012268066406
0.818,40,0.0004923602940834826,1.8523662583902477e-05,10.52817668914795,11.121827602386475,1.0,1.0,-137.37081909179688,-95.245361328125,-152.8804931640625,-82.66554260253906
0.9177,45,3.0669979059894105e-05,1.81665312993573e-05,10.943507862091064,11.12272491455078,1.0,1.0,-118.44577026367188,-123.84529113769531,-133.48934936523438,-106.48279571533203
1.0,50,0.0005528103287360864,1.8758593432721683e-05,10.794344234466553,11.105195713043212,1.0,1.0,-113.70504760742188,-99.58946990966797,-136.881591796875,-82.51602935791016
