epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-157.13272094726562,-144.917724609375,-157.13272094726562,-144.917724609375
0.1197,5,0.2841815486550331,0.3625120550394058,1.4792067527770998,1.0786760330200198,1.0,0.9,-95.73310852050781,-102.00343322753906,-107.83405303955078,-112.14309692382812
0.2195,10,0.1457977794110775,0.13689112327992917,2.9702307462692263,2.684986877441406,1.0,1.0,-66.22459411621094,-103.7645263671875,-83.67169952392578,-116.12724304199219
0.3192,15,0.17140542757697402,0.09207936944440007,2.809902739524841,3.34091682434082,1.0,1.0,-138.4202880859375,-88.60885620117188,-154.3926239013672,-93.50543212890625
0.419,20,0.11047654519788921,0.06385168922133744,3.9541735470294954,3.838893175125122,1.0,1.0,-152.13153076171875,-147.87086486816406,-163.60675048828125,-155.66864013671875
0.5187,25,0.05453245211392641,0.05302640330046415,4.3513620615005495,4.0193283498287204,1.0,1.0,-82.0135269165039,-126.69877624511719,-104.54972076416016,-139.26593017578125
0.6185,30,4.054692566767335,0.048584030871279535,4.850349336862564,4.184554713964462,0.9,1.0,-73.07685852050781,-79.81019592285156,-95.56452941894531,-89.06472778320312
0.7182,35,0.01487798485904932,0.05131359971128404,5.511079216003418,4.283654841780662,1.0,1.0,-95.48627471923828,-134.377685546875,-112.86012268066406,-140.4937286376953
0.818,40,0.01974252426880412,0.04610727238468826,5.897594076395034,4.298909954726696,1.0,1.0,-70.21995544433594,-92.08717346191406,-82.66554260253906,-99.47594451904297
0.9177,45,0.04632641477510333,0.046204223413951695,3.919232189655304,4.3158065438270565,1.0,1.0,-92.07321166992188,-121.97718811035156,-106.48279571533203,-111.56385803222656
1.0,50,0.026450929511338473,0.04374044670257717,5.349260818958282,4.343357822299003,1.0,1.0,-59.11406707763672,-91.44656372070312,-82.51602935791016,-92.86863708496094
