epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-140.4958953857422,-59.13417053222656,-140.4958953857422,-59.13417053222656
0.1197,5,0.16683572232723237,0.15505365431308746,1.7253947347402574,1.749190095067024,1.0,1.0,-143.75425720214844,-59.95533752441406,-147.26271057128906,-60.12870407104492
0.2195,10,0.018063177447766067,0.0210198950022459,4.082988864183426,4.044194734096528,1.0,1.0,-123.83087158203125,-46.93207550048828,-140.98550415039062,-49.46619415283203
0.3192,15,0.0027337568113580345,0.005473768641240895,5.858035552501678,5.566316437721252,1.0,1.0,-131.04933166503906,-63.91926956176758,-144.45721435546875,-65.20555877685547
0.419,20,0.0012655505444854498,0.002029899478657171,6.843268942832946,6.644765996932983,1.0,1.0,-121.1828842163086,-64.47008514404297,-145.46250915527344,-66.48806762695312
0.5187,25,0.0004546761978417635,0.0009808838076423854,7.601027381420135,7.403627526760102,1.0,1.0,-102.54520416259766,-51.05864715576172,-131.0018310546875,-54.201194763183594
0.6185,30,0.0005283438935293816,0.0007207585935248062,7.486848258972168,7.773046386241912,1.0,1.0,-141.35415649414062,-53.788612365722656,-165.2779541015625,-55.419151306152344
0.7182,35,0.0003607332997489721,0.0005616035312414169,7.90901174545288,7.954712200164796,1.0,1.0,-128.97242736816406,-108.6027603149414,-151.067626953125,-111.26089477539062
0.818,40,0.0002826118841767311,0.0006234139436855912,8.205522179603577,8.060863435268402,1.0,1.0,-145.11061096191406,-68.56820678710938,-175.90614318847656,-71.73411560058594
0.9177,45,0.0005456456099636852,0.000541947819874622,7.7069060921669,8.063620936870576,1.0,1.0,-119.29765319824219,-61.730247497558594,-148.4764862060547,-64.06010437011719
1.0,50,0.00029382125794654714,0.0005809548660181463,8.172964489459991,8.08340047597885,1.0,1.0,-136.675537109375,-72.16265106201172,-168.0518798828125,-75.10137939453125
