id,distance,normalized_distance,weighted_distance
0,177,0.6755725190839694,0.4004524886877828
1,130,0.7386363636363636,0.5241935483870968
2,173,0.7090163934426229,0.3835920177383592
3,183,0.6777777777777778,0.44963144963144963
4,117,0.6610169491525424,0.4642857142857143
5,143,0.6941747572815534,0.3676092544987147
6,196,0.7396226415094339,0.4745762711864407
7,177,0.6604477611940298,0.4031890660592255
8,211,0.5796703296703297,0.3291731669266771
9,96,0.7384615384615385,0.39183673469387753
10,237,0.6790830945558739,0.41361256544502617
11,142,0.743455497382199,0.4057142857142857
12,200,0.7092198581560284,0.5347593582887701
13,279,0.754054054054054,0.5138121546961326
14,87,0.5403726708074534,0.3493975903614458
15,92,0.5935483870967742,0.3458646616541353
16,61,0.6421052631578947,0.3333333333333333
17,218,0.7032258064516129,0.464818763326226
18,276,0.6715328467153284,0.3786008230452675
19,226,0.7174603174603175,0.5380952380952381
20,222,0.6809815950920245,0.40585009140767825
21,211,0.793233082706767,0.42115768463073855
22,133,0.6785714285714286,0.434640522875817
23,118,0.5592417061611374,0.3259668508287293
24,173,0.5339506172839507,0.29322033898305083
25,203,0.7173144876325088,0.4963325183374083
26,160,0.7142857142857143,0.5111821086261981
27,231,0.6226415094339622,0.4117647058823529
28,232,0.7508090614886731,0.47443762781186094
29,193,0.7598425196850394,0.5626822157434402
30,109,0.5647668393782384,0.36577181208053694
31,153,0.6071428571428571,0.34459459459459457
32,222,0.7474747474747475,0.5068493150684932
33,197,0.7296296296296296,0.4624413145539906
34,198,0.673469387755102,0.47255369928400953
35,278,0.7637362637362637,0.5255198487712666
36,183,0.7038461538461539,0.3877118644067797
37,190,0.6834532374100719,0.34798534798534797
38,133,0.642512077294686,0.3463541666666667
39,311,0.6122047244094488,0.35953757225433525
40,153,0.765,0.478125
41,236,0.6900584795321637,0.48760330578512395
42,251,0.7110481586402266,0.49506903353057197
43,200,0.6688963210702341,0.4484304932735426
44,110,0.6586826347305389,0.3793103448275862
45,196,0.7480916030534351,0.4745762711864407
46,95,0.4523809523809524,0.23284313725490197
47,150,0.6637168141592921,0.3588516746411483
48,183,0.8026315789473685,0.5213675213675214
49,142,0.7135678391959799,0.3955431754874652
50,255,0.5448717948717948,0.29651162790697677
51,207,0.6613418530351438,0.3770491803278688
52,163,0.806930693069307,0.43351063829787234
53,192,0.6486486486486487,0.3950617283950617
54,136,0.6044444444444445,0.3460559796437659
55,162,0.7431192660550459,0.3932038834951456
56,237,0.7269938650306749,0.42702702702702705
57,171,0.5916955017301038,0.3307543520309478
58,207,0.6699029126213593,0.45295404814004375
59,232,0.7435897435897436,0.44106463878326996
60,114,0.6298342541436464,0.3323615160349854
61,238,0.7628205128205128,0.4265232974910394
62,197,0.600609756097561,0.35304659498207885
63,231,0.7403846153846154,0.5566265060240964
64,131,0.6298076923076923,0.33418367346938777
65,166,0.6484375,0.3480083857442348
66,219,0.6908517350157729,0.4362549800796813
67,168,0.7400881057268722,0.39436619718309857
68,191,0.7519685039370079,0.5247252747252747
69,224,0.656891495601173,0.4218455743879473
70,186,0.6326530612244898,0.3576923076923077
71,169,0.7347826086956522,0.4023809523809524
72,126,0.7039106145251397,0.4483985765124555
73,289,0.706601466992665,0.4237536656891496
74,191,0.8127659574468085,0.5504322766570605
75,218,0.759581881533101,0.42412451361867703
76,58,0.5576923076923077,0.32222222222222224
77,258,0.6531645569620254,0.36962750716332377
78,211,0.6656151419558359,0.40655105973025046
79,176,0.822429906542056,0.4808743169398907
80,126,0.6461538461538462,0.3247422680412371
81,289,0.7225,0.38636363636363635
82,222,0.7474747474747475,0.5068493150684932
83,206,0.5522788203753352,0.31790123456790126
84,176,0.6494464944649446,0.3801295896328294
85,129,0.7049180327868853,0.35833333333333334
86,174,0.7219917012448133,0.5058139534883721
87,187,0.5753846153846154,0.34186471663619744
88,115,0.5528846153846154,0.286783042394015
89,140,0.603448275862069,0.3389830508474576
90,178,0.4517766497461929,0.25501432664756446
91,102,0.5828571428571429,0.35789473684210527
92,194,0.749034749034749,0.5574712643678161
93,155,0.543859649122807,0.3112449799196787
94,214,0.6484848484848484,0.327718223583461
95,167,0.668,0.4550408719346049
96,101,0.6121212121212121,0.3782771535580524
97,293,0.7163814180929096,0.3948787061994609
98,129,0.581081081081081,0.29930394431554525
99,226,0.6827794561933535,0.353125
100,229,0.7842465753424658,0.6074270557029178
101,235,0.7966101694915254,0.5919395465994962
102,228,0.7125,0.4550898203592814
103,187,0.73046875,0.3824130879345603
104,205,0.6810631229235881,0.3410981697171381
105,268,0.8220858895705522,0.41294298921417566
106,141,0.7014925373134329,0.4017094017094017
107,332,0.6347992351816444,0.40389294403892945
108,224,0.7671232876712328,0.46764091858037576
109,141,0.815028901734104,0.46534653465346537
110,131,0.7158469945355191,0.3764367816091954
111,189,0.7590361445783133,0.54
112,200,0.6535947712418301,0.4065040650406504
113,160,0.6083650190114068,0.3855421686746988
114,218,0.6140845070422535,0.34009360374414976
115,147,0.6024590163934426,0.33715596330275227
116,101,0.543010752688172,0.27671232876712326
117,193,0.748062015503876,0.44883720930232557
118,268,0.6473429951690821,0.33668341708542715
119,318,0.7737226277372263,0.5618374558303887
120,117,0.740506329113924,0.4148936170212766
121,161,0.6822033898305084,0.3788235294117647
122,209,0.6470588235294118,0.3554421768707483
123,169,0.569023569023569,0.325
124,236,0.7283950617283951,0.5488372093023256
125,101,0.7318840579710145,0.4225941422594142
126,130,0.8441558441558441,0.5327868852459017
127,126,0.802547770700637,0.41042345276872966
128,93,0.8532110091743119,0.458128078817734
129,125,0.8928571428571429,0.4562043795620438
130,123,0.8541666666666666,0.45724907063197023
131,99,0.792,0.46919431279620855
132,81,0.81,0.43783783783783786
133,143,0.8511904761904762,0.516245487364621
134,79,0.7745098039215687,0.5096774193548387
135,192,0.8384279475982532,0.5439093484419264
136,90,0.8411214953271028,0.4639175257731959
137,87,0.8787878787878788,0.5878378378378378
138,81,0.8617021276595744,0.5094339622641509
139,94,0.8173913043478261,0.49214659685863876
140,86,0.7049180327868853,0.39814814814814814
141,112,0.8057553956834532,0.4628099173553719
142,149,0.7563451776649747,0.4584615384615385
143,110,0.7638888888888888,0.45081967213114754
144,108,0.8307692307692308,0.47368421052631576
145,127,0.7298850574712644,0.4409722222222222
146,230,0.7301587301587301,0.5263157894736842
147,119,0.672316384180791,0.4117647058823529
148,93,0.7265625,0.42272727272727273
149,133,0.7556818181818182,0.4962686567164179
150,129,0.6417910447761194,0.37719298245614036
151,157,0.7696078431372549,0.5080906148867314
152,153,0.6483050847457628,0.3722627737226277
153,84,0.6222222222222222,0.3835616438356164
154,178,0.7705627705627706,0.577922077922078
155,99,0.6875,0.3793103448275862
156,89,0.4810810810810811,0.24653739612188366
157,105,0.7291666666666666,0.36713286713286714
158,86,0.5119047619047619,0.25903614457831325
159,112,0.7133757961783439,0.4043321299638989
160,85,0.5782312925170068,0.2982456140350877
161,134,0.7613636363636364,0.3872832369942196
162,85,0.7264957264957265,0.4028436018957346
163,107,0.722972972972973,0.47767857142857145
164,100,0.6369426751592356,0.37174721189591076
165,75,0.5725190839694656,0.30364372469635625
166,117,0.7358490566037735,0.3979591836734694
167,83,0.6335877862595419,0.3577586206896552
168,60,0.8571428571428571,0.4316546762589928
169,78,0.7027027027027027,0.37681159420289856
