id,distance,normalized_distance,weighted_distance
0,129,0.49236641221374045,0.25244618395303325
1,177,0.5841584158415841,0.3695198329853862
2,133,0.37254901960784315,0.22129783693843594
3,352,0.5996592844974447,0.41073512252042005
4,155,0.5326460481099656,0.3311965811965812
5,215,0.6515151515151515,0.40111940298507465
6,210,0.7094594594594594,0.47297297297297297
7,100,0.5263157894736842,0.2770083102493075
8,87,0.23901098901098902,0.12066574202496533
9,129,0.5584415584415584,0.37283236994219654
10,217,0.6217765042979942,0.3787085514834206
11,125,0.4807692307692308,0.2771618625277162
12,79,0.2415902140672783,0.1297208538587849
13,192,0.6233766233766234,0.3991683991683992
14,48,0.2981366459627329,0.17454545454545456
15,3,0.01935483870967742,0.00967741935483871
16,24,0.20512820512820512,0.11320754716981132
17,199,0.6238244514106583,0.41631799163179917
18,158,0.3844282238442822,0.20127388535031848
19,284,0.5368620037807184,0.33649289099526064
20,114,0.2814814814814815,0.15595075239398085
21,124,0.36470588235294116,0.20462046204620463
22,154,0.55,0.3235294117647059
23,6,0.02843601895734597,0.014285714285714285
24,69,0.21296296296296297,0.11538461538461539
25,75,0.26501766784452296,0.1497005988023952
26,169,0.5216049382716049,0.3083941605839416
27,146,0.3022774327122153,0.17096018735362997
28,194,0.6830985915492958,0.41810344827586204
29,76,0.2992125984251969,0.1589958158995816
30,184,0.5626911314984709,0.35384615384615387
31,54,0.28125,0.1447721179624665
32,128,0.3565459610027855,0.1951219512195122
33,167,0.6900826446280992,0.41959798994974873
34,168,0.4148148148148148,0.24034334763948498
35,86,0.2042755344418052,0.10955414012738854
36,149,0.430635838150289,0.24587458745874588
37,53,0.17845117845117844,0.09380530973451327
38,22,0.1164021164021164,0.060109289617486336
39,298,0.5866141732283464,0.31769722814498935
40,126,0.6028708133971292,0.3080684596577017
41,234,0.6256684491978609,0.3268156424581006
42,347,0.5413416536661466,0.34909456740442657
43,111,0.3384146341463415,0.17703349282296652
44,337,0.6991701244813278,0.5192604006163328
45,105,0.30612244897959184,0.17355371900826447
46,90,0.4166666666666667,0.2112676056338028
47,57,0.296875,0.1557377049180328
48,122,0.5374449339207048,0.3485714285714286
49,166,0.6148148148148148,0.35394456289978676
50,126,0.2692307692307692,0.1487603305785124
51,210,0.5210918114143921,0.3286384976525822
52,203,0.6424050632911392,0.3918918918918919
53,139,0.5582329317269076,0.31662870159453305
54,55,0.24444444444444444,0.12702078521939955
55,282,0.7014925373134329,0.47315436241610737
56,165,0.5061349693251533,0.2731788079470199
57,57,0.1972318339100346,0.1089866156787763
58,298,0.5488029465930019,0.34976525821596244
59,188,0.5714285714285714,0.3462246777163904
60,38,0.20994475138121546,0.1162079510703364
61,123,0.5,0.2814645308924485
62,146,0.4451219512195122,0.27238805970149255
63,156,0.37320574162679426,0.2136986301369863
64,89,0.419811320754717,0.2119047619047619
65,111,0.43359375,0.23667377398720682
66,219,0.6498516320474778,0.41954022988505746
67,194,0.6689655172413793,0.3967280163599182
68,226,0.743421052631579,0.5458937198067633
69,160,0.36281179138321995,0.20460358056265984
70,68,0.3008849557522124,0.15212527964205816
71,105,0.33980582524271846,0.19480519480519481
72,243,0.7275449101796407,0.47368421052631576
73,173,0.4219512195121951,0.21123321123321123
74,300,0.7177033492822966,0.45941807044410415
75,311,0.6835164835164835,0.4560117302052786
76,10,0.09345794392523364,0.04739336492890995
77,189,0.47848101265822784,0.2603305785123967
78,82,0.40594059405940597,0.20347394540942929
79,130,0.5882352941176471,0.3485254691689008
80,46,0.23834196891191708,0.12742382271468145
81,157,0.3925,0.2233285917496444
82,140,0.36082474226804123,0.20437956204379562
83,98,0.26273458445040215,0.15030674846625766
84,243,0.5170212765957447,0.32793522267206476
85,150,0.6072874493927125,0.3488372093023256
86,225,0.5421686746987951,0.3429878048780488
87,88,0.24512534818941503,0.1286549707602339
88,90,0.371900826446281,0.2
89,88,0.37606837606837606,0.21204819277108433
90,111,0.24288840262582057,0.13043478260869565
91,70,0.4,0.2222222222222222
92,254,0.6195121951219512,0.3796711509715994
93,68,0.19883040935672514,0.10845295055821372
94,157,0.48606811145510836,0.2798573975044563
95,183,0.5154929577464789,0.30247933884297523
96,49,0.296969696969697,0.17253521126760563
97,96,0.2857142857142857,0.14349775784753363
98,47,0.18076923076923077,0.0975103734439834
99,126,0.4077669902912621,0.2413793103448276
100,300,0.6072874493927125,0.3816793893129771
101,226,0.653179190751445,0.35257410296411856
102,258,0.6701298701298701,0.4558303886925795
103,225,0.6048387096774194,0.371900826446281
104,231,0.5513126491646778,0.32083333333333336
105,165,0.5061349693251533,0.2731788079470199
106,135,0.6221198156682027,0.3678474114441417
107,79,0.15105162523900573,0.07625482625482626
108,234,0.7959183673469388,0.3993174061433447
109,195,0.6914893617021277,0.4733009708737864
110,92,0.38333333333333336,0.2271604938271605
111,91,0.35,0.1787819253438114
112,214,0.6426426426426426,0.4123314065510597
113,283,0.6233480176211453,0.3947001394700139
114,136,0.39080459770114945,0.21451104100946372
115,91,0.38396624472573837,0.21212121212121213
116,43,0.23118279569892472,0.1178082191780822
117,119,0.43911439114391143,0.2686230248306998
118,184,0.4444444444444444,0.2430647291941876
119,209,0.6966666666666667,0.4593406593406593
120,118,0.5221238938053098,0.33714285714285713
121,238,0.6346666666666667,0.3895253682487725
122,88,0.2724458204334365,0.14864864864864866
123,326,0.6003683241252302,0.3880952380952381
124,188,0.44655581947743467,0.2523489932885906
125,103,0.5508021390374331,0.3169230769230769
126,95,0.6012658227848101,0.30448717948717946
127,257,0.7060439560439561,0.4932821497120921
128,170,0.6538461538461539,0.46070460704607047
129,51,0.3090909090909091,0.16721311475409836
130,108,0.48214285714285715,0.29347826086956524
131,62,0.4105960264900662,0.2246376811594203
132,96,0.5026178010471204,0.32989690721649484
133,39,0.23214285714285715,0.11926605504587157
134,69,0.48936170212765956,0.2839506172839506
135,164,0.4954682779456193,0.29285714285714287
136,38,0.31666666666666665,0.16740088105726872
137,31,0.29245283018867924,0.15121951219512195
138,31,0.32978723404255317,0.1834319526627219
139,30,0.2608695652173913,0.1388888888888889
140,120,0.6976744186046512,0.40816326530612246
141,55,0.36423841059602646,0.1896551724137931
142,54,0.27411167512690354,0.14634146341463414
143,81,0.36160714285714285,0.22010869565217392
144,90,0.5294117647058824,0.3
145,66,0.4489795918367347,0.25287356321839083
146,153,0.6322314049586777,0.42032967032967034
147,91,0.5112359550561798,0.3137931034482759
148,18,0.1956521739130435,0.09782608695652174
149,25,0.2717391304347826,0.14124293785310735
150,101,0.5153061224489796,0.2997032640949555
151,117,0.5735294117647058,0.3786407766990291
152,73,0.32882882882882886,0.18387909319899245
153,66,0.4888888888888889,0.28695652173913044
154,115,0.6388888888888888,0.4474708171206226
155,113,0.5678391959798995,0.3575949367088608
156,70,0.35714285714285715,0.1837270341207349
157,80,0.41237113402061853,0.23668639053254437
158,70,0.4268292682926829,0.2222222222222222
159,71,0.5634920634920635,0.2886178861788618
160,143,0.5296296296296297,0.35049019607843135
161,82,0.38497652582159625,0.21079691516709512
162,56,0.47863247863247865,0.27586206896551724
163,90,0.6474820143884892,0.4186046511627907
164,37,0.2642857142857143,0.14682539682539683
165,42,0.32061068702290074,0.18025751072961374
166,89,0.559748427672956,0.2956810631229236
167,46,0.2911392405063291,0.15916955017301038
168,71,0.6893203883495146,0.4127906976744186
169,139,0.6043478260869565,0.40762463343108507
170,49,0.27071823204419887,0.14327485380116958
171,48,0.4948453608247423,0.24870466321243523
172,55,0.48672566371681414,0.2736318407960199
173,49,0.5104166666666666,0.2768361581920904
174,67,0.3641304347826087,0.20489296636085627
175,120,0.5714285714285714,0.38961038961038963
176,31,0.25833333333333336,0.1415525114155251
177,45,0.34615384615384615,0.17647058823529413
178,189,0.6974169741697417,0.46898263027295284
179,55,0.3793103448275862,0.20446096654275092
180,128,0.7398843930635838,0.5378151260504201
181,49,0.4117647058823529,0.23444976076555024
182,135,0.5895196506550219,0.39589442815249265
183,213,0.6396396396396397,0.44842105263157894
184,61,0.3935483870967742,0.23018867924528302
185,50,0.45871559633027525,0.26595744680851063
186,31,0.34444444444444444,0.19135802469135801
187,163,0.7149122807017544,0.5125786163522013
188,42,0.3442622950819672,0.1721311475409836
189,25,0.26881720430107525,0.15060240963855423
190,50,0.625,0.31446540880503143
191,125,0.6793478260869565,0.4681647940074906
192,62,0.4696969696969697,0.25
193,55,0.4365079365079365,0.25229357798165136
194,31,0.33695652173913043,0.17415730337078653
195,46,0.45098039215686275,0.2358974358974359
196,64,0.43537414965986393,0.23272727272727273
197,75,0.5474452554744526,0.29296875
198,26,0.24528301886792453,0.12560386473429952
199,132,0.5892857142857143,0.4086687306501548
200,22,0.24444444444444444,0.12941176470588237
201,79,0.5266666666666666,0.341991341991342
202,19,0.25,0.1386861313868613
203,28,0.25688073394495414,0.13333333333333333
204,61,0.5495495495495496,0.2932692307692308
205,48,0.4,0.23076923076923078
206,12,0.125,0.06382978723404255
207,33,0.32673267326732675,0.1746031746031746
208,53,0.3581081081081081,0.20306513409961685
209,70,0.46357615894039733,0.24734982332155478
210,55,0.6111111111111112,0.3548387096774194
211,240,0.7272727272727273,0.5298013245033113
212,44,0.5866666666666667,0.29333333333333333
213,64,0.5765765765765766,0.367816091954023
214,17,0.1827956989247312,0.09497206703910614
215,47,0.6103896103896104,0.34558823529411764
