id,distance,normalized_distance,weighted_distance
0,300,0.7281553398058253,0.45385779122541603
1,128,0.3902439024390244,0.20285261489698891
2,275,0.49460431654676257,0.30120481927710846
3,345,0.5877342419080068,0.3194444444444444
4,178,0.6116838487972509,0.33904761904761904
5,338,0.6855983772819473,0.4106925880923451
6,222,0.5467980295566502,0.3162393162393162
7,166,0.5845070422535211,0.350210970464135
8,350,0.6108202443280978,0.3763440860215054
9,180,0.6293706293706294,0.3481624758220503
10,345,0.6127886323268206,0.3782894736842105
11,242,0.585956416464891,0.35958395245170877
12,170,0.513595166163142,0.25835866261398177
13,421,0.7271157167530224,0.4746335963923337
14,116,0.5321100917431193,0.3493975903614458
15,161,0.6598360655737705,0.40350877192982454
16,140,0.6167400881057269,0.4069767441860465
17,317,0.7044444444444444,0.41222366710013003
18,262,0.6986666666666667,0.34979973297730305
19,311,0.5879017013232514,0.3315565031982942
20,297,0.7333333333333333,0.41307371349095967
21,323,0.6129032258064516,0.37254901960784315
22,229,0.6273972602739726,0.3550387596899225
23,176,0.5986394557823129,0.3499005964214712
24,176,0.5131195335276968,0.2852512155591572
25,240,0.6997084548104956,0.42780748663101603
26,201,0.6203703703703703,0.3130841121495327
27,282,0.5743380855397149,0.28952772073921973
28,320,0.6374501992031872,0.4071246819338422
29,209,0.6720257234726688,0.39065420560747666
30,168,0.4375,0.23628691983122363
31,212,0.6751592356687898,0.42828282828282827
32,322,0.625242718446602,0.3684210526315789
33,326,0.7196467991169978,0.46906474820143884
34,259,0.6395061728395062,0.3390052356020942
35,285,0.5949895615866388,0.31666666666666665
36,214,0.6184971098265896,0.334375
37,270,0.5708245243128964,0.35064935064935066
38,173,0.6705426356589147,0.3870246085011186
39,280,0.6511627906976745,0.35443037974683544
40,243,0.6825842696629213,0.4300884955752212
41,215,0.5498721227621484,0.28104575163398693
42,407,0.6349453978159126,0.3408710217755444
43,218,0.6264367816091954,0.3224852071005917
44,324,0.6721991701244814,0.38571428571428573
45,283,0.8062678062678063,0.40778097982708933
46,167,0.5352564102564102,0.3162878787878788
47,201,0.6813559322033899,0.42857142857142855
48,110,0.36303630363036304,0.20754716981132076
49,370,0.7184466019417476,0.4713375796178344
50,273,0.6080178173719376,0.32971014492753625
51,216,0.5359801488833746,0.27906976744186046
52,319,0.747072599531616,0.42934051144010765
53,204,0.5368421052631579,0.32432432432432434
54,168,0.6176470588235294,0.35
55,327,0.6526946107784432,0.36212624584717606
56,235,0.8075601374570447,0.4130052724077329
57,221,0.6207865168539326,0.37457627118644066
58,280,0.5156537753222836,0.2641509433962264
59,357,0.6735849056603773,0.41559953434225844
60,138,0.552,0.3484848484848485
61,206,0.6377708978328174,0.40077821011673154
62,182,0.5928338762214984,0.3533980582524272
63,201,0.4446902654867257,0.23103448275862068
64,176,0.6376811594202898,0.36065573770491804
65,177,0.5267857142857143,0.3224043715846995
66,328,0.590990990990991,0.36771300448430494
67,340,0.6854838709677419,0.43256997455470736
68,300,0.6211180124223602,0.3811944091486658
69,321,0.5661375661375662,0.31845238095238093
70,187,0.5683890577507599,0.34
71,163,0.5275080906148867,0.2767402376910017
72,244,0.7093023255813954,0.35988200589970504
73,268,0.6320754716981132,0.3213429256594724
74,320,0.7655502392344498,0.3888213851761847
75,357,0.6420863309352518,0.35311572700296734
76,173,0.6431226765799256,0.4601063829787234
77,243,0.574468085106383,0.3222811671087533
78,182,0.5098039215686274,0.32616487455197135
79,142,0.5525291828793775,0.29707112970711297
80,154,0.616,0.3684210526315789
