id,distance,normalized_distance,weighted_distance
345,257,0.723943661971831,0.37683284457478006
346,201,0.7613636363636364,0.4962962962962963
347,248,0.7380952380952381,0.4290657439446367
348,151,0.7023255813953488,0.48242811501597443
349,279,0.6940298507462687,0.4744897959183674
350,179,0.6754716981132075,0.47989276139410186
351,239,0.8356643356643356,0.6306068601583114
352,218,0.662613981762918,0.4439918533604888
353,298,0.83008356545961,0.6506550218340611
354,214,0.7109634551495017,0.49537037037037035
355,206,0.7573529411764706,0.5706371191135734
356,143,0.6651162790697674,0.4454828660436137
357,234,0.7134146341463414,0.4926315789473684
358,140,0.7216494845360825,0.5072463768115942
359,197,0.6888111888111889,0.4758454106280193
360,218,0.7676056338028169,0.5813333333333334
361,288,0.7403598971722365,0.5207956600361664
362,258,0.7049180327868853,0.49049429657794674
363,153,0.7050691244239631,0.498371335504886
364,261,0.7131147540983607,0.5272727272727272
365,335,0.7665903890160183,0.5259026687598116
366,218,0.759581881533101,0.5505050505050505
367,291,0.7256857855361596,0.5177935943060499
368,164,0.7488584474885844,0.5125
369,239,0.6602209944751382,0.4314079422382672
370,267,0.8240740740740741,0.6881443298969072
371,130,0.6770833333333334,0.4626334519572954
372,174,0.6566037735849056,0.4496124031007752
373,194,0.6807017543859649,0.45011600928074247
374,228,0.7651006711409396,0.5588235294117647
375,139,0.6587677725118484,0.4512987012987013
376,182,0.8465116279069768,0.6476868327402135
377,356,0.8746928746928747,0.7655913978494624
378,167,0.6788617886178862,0.4757834757834758
379,232,0.703030303030303,0.5098901098901099
380,122,0.6354166666666666,0.4053156146179402
381,175,0.7383966244725738,0.550314465408805
382,161,0.7453703703703703,0.5709219858156028
383,254,0.7298850574712644,0.5450643776824035
384,169,0.7071129707112971,0.49852507374631266
385,490,0.8221476510067114,0.6542056074766355
386,322,0.7523364485981309,0.45738636363636365
387,222,0.6115702479338843,0.3687707641196013
388,289,0.7429305912596401,0.4965635738831615
389,225,0.75,0.5244755244755245
390,264,0.8,0.6
391,214,0.670846394984326,0.4187866927592955
392,382,0.7113594040968343,0.5046235138705416
393,178,0.8054298642533937,0.615916955017301
394,205,0.7854406130268199,0.6083086053412463
395,201,0.7584905660377359,0.5506849315068493
396,207,0.80859375,0.6550632911392406
397,213,0.7773722627737226,0.5867768595041323
398,227,0.7721088435374149,0.58656330749354
399,184,0.609271523178808,0.38095238095238093
400,242,0.7934426229508197,0.622107969151671
401,265,0.6883116883116883,0.45689655172413796
402,419,0.8135922330097087,0.6263079222720478
403,211,0.7873134328358209,0.6336336336336337
404,230,0.6804733727810651,0.4742268041237113
405,200,0.6557377049180327,0.41237113402061853
406,246,0.7130434782608696,0.4530386740331492
407,237,0.7571884984025559,0.5486111111111112
408,225,0.6696428571428571,0.39267015706806285
409,307,0.7206572769953051,0.49198717948717946
410,261,0.6675191815856778,0.4797794117647059
411,348,0.696,0.49014084507042255
412,184,0.6411149825783972,0.39148936170212767
413,387,0.8096234309623431,0.5990712074303406
414,301,0.732360097323601,0.5154109589041096
415,283,0.7312661498708011,0.5473887814313346
416,254,0.7673716012084593,0.5336134453781513
417,187,0.7030075187969925,0.5151515151515151
418,255,0.7412790697674418,0.4696132596685083
419,369,0.693609022556391,0.4606741573033708
420,220,0.6666666666666666,0.4583333333333333
421,211,0.7589928057553957,0.5733695652173914
422,223,0.7384105960264901,0.5334928229665071
423,460,0.7395498392282959,0.5263157894736842
424,247,0.6899441340782123,0.44990892531876137
425,249,0.7033898305084746,0.4853801169590643
426,363,0.7469135802469136,0.5084033613445378
427,425,0.628698224852071,0.4024621212121212
428,316,0.61003861003861,0.386780905752754
429,268,0.6504854368932039,0.4200626959247649
430,287,0.6537585421412301,0.4117647058823529
431,225,0.6736526946107785,0.4620123203285421
432,294,0.494949494949495,0.29518072289156627
433,282,0.597457627118644,0.3795423956931359
434,278,0.6083150984682714,0.38935574229691877
435,272,0.5750528541226215,0.35324675324675325
436,421,0.7753222836095764,0.575136612021858
437,382,0.80083857442348,0.6151368760064412
438,328,0.7305122494432071,0.5038402457757296
439,274,0.7445652173913043,0.48841354723707664
440,330,0.8088235294117647,0.5789473684210527
441,271,0.799410029498525,0.6008869179600886
442,234,0.75,0.4957627118644068
443,249,0.7217391304347827,0.4689265536723164
444,197,0.7086330935251799,0.45080091533180777
445,193,0.8008298755186722,0.5331491712707183
446,262,0.7485714285714286,0.4971537001897533
447,186,0.7099236641221374,0.4
448,273,0.8053097345132744,0.5384615384615384
449,306,0.8181818181818182,0.583969465648855
450,184,0.6571428571428571,0.39232409381663114
451,302,0.766497461928934,0.5109983079526227
452,282,0.8011363636363636,0.5720081135902637
453,205,0.7118055555555556,0.49160671462829736
454,284,0.8554216867469879,0.6498855835240275
455,275,0.7746478873239436,0.5612244897959183
456,303,0.8145161290322581,0.5674157303370787
457,215,0.6761006289308176,0.4414784394250513
458,272,0.6974358974358974,0.44810543657331137
459,296,0.7728459530026109,0.5333333333333333
460,296,0.8199445983379502,0.5627376425855514
461,201,0.7556390977443609,0.5025
462,220,0.7166123778501629,0.4966139954853273
463,276,0.6882793017456359,0.45923460898502494
464,547,0.7661064425770309,0.5431976166832175
465,339,0.7306034482758621,0.450199203187251
466,230,0.6744868035190615,0.44921875
467,274,0.7365591397849462,0.44193548387096776
468,258,0.7543859649122807,0.4952015355086372
469,211,0.74822695035461,0.4762979683972912
470,255,0.7727272727272727,0.40540540540540543
471,228,0.6404494382022472,0.3910806174957118
472,346,0.7935779816513762,0.564437194127243
473,260,0.6878306878306878,0.46181172291296624
474,444,0.7437185929648241,0.49278579356270813
475,312,0.7272727272727273,0.47560975609756095
476,366,0.7106796116504854,0.4753246753246753
477,257,0.6556122448979592,0.43485617597292725
478,359,0.735655737704918,0.4993045897079277
479,232,0.6823529411764706,0.464
480,225,0.6838905775075987,0.44642857142857145
481,365,0.8004385964912281,0.606312292358804
482,229,0.663768115942029,0.4446601941747573
483,410,0.7550644567219152,0.5387647831800263
484,362,0.7313131313131314,0.5201149425287356
485,310,0.7226107226107226,0.49363057324840764
486,320,0.7095343680709535,0.4419889502762431
487,333,0.7270742358078602,0.4457831325301205
488,263,0.7285318559556787,0.43906510851419034
489,303,0.8440111420612814,0.6047904191616766
490,383,0.829004329004329,0.5838414634146342
491,244,0.6892655367231638,0.43416370106761565
492,179,0.69921875,0.4441687344913151
